"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000000419",0.108710790087856,3.95626599958181,0.699994800603612,0.484866761466302,0.615417973575599,-6.48611082614964,"DPM1"
"ENSG00000000457",0.66201482501634,2.49133559162597,3.40539564042146,0.000820614144785329,0.00452614111563013,-0.959546377414028,"SCYL3"
"ENSG00000000938",0.28381039772241,8.84727419069197,2.30925536548324,0.0221062257383751,0.0605247242204249,-4.28412046621539,"FGR"
"ENSG00000000971",-0.167823635762929,1.96101795372865,-0.692281264954577,0.489684890583122,0.619564199844328,-6.19662507084942,"CFH"
"ENSG00000001036",-0.0414080781854853,3.86817207925454,-0.331703247494083,0.740513126011777,0.822732079330326,-6.66860378152713,"FUCA2"
"ENSG00000001084",-0.486744504626913,4.00806431185884,-2.70957920064893,0.00741186185270536,0.0257828753397867,-3.19232009270519,"GCLC"
"ENSG00000001167",0.372309742049929,4.13694661093552,2.33527098416447,0.0206716764824808,0.057498113869778,-4.07380090682929,"NFYA"
"ENSG00000001460",-1.07969884141093,1.61923886207358,-5.13930374098585,7.36268798278151e-07,1.32443101589881e-05,5.59938131347712,"STPG1"
"ENSG00000001461",-0.0828545784647923,2.82004769328494,-0.557696417746942,0.577769549000703,0.695622791487882,-6.4207446661752,"NIPAL3"
"ENSG00000001497",0.102678403162359,1.54864705107598,0.475695161014057,0.634889117110546,0.740783470227406,-6.23126228274776,"LAS1L"
"ENSG00000001561",-0.448676944105093,2.2771573862436,-1.91231911141095,0.0574805060347117,0.125669487384196,-4.72601550723281,"ENPP4"
"ENSG00000001617",-0.623867847694098,1.93987600616988,-2.65873219031826,0.0085763072656459,0.0289124569831,-3.05463213441154,"SEMA3F"
"ENSG00000001626",0.0987407857665986,4.62981489695033,0.258009261455544,0.79670511703837,0.864489702534904,-6.77141973859331,"CFTR"
"ENSG00000001629",0.196103537478118,4.24751114313565,1.2808787279885,0.201943381265942,0.326609886595009,-5.94732336687208,"ANKIB1"
"ENSG00000001630",0.261527435009415,3.33300858359419,1.45694836240447,0.146935542731695,0.257197004478509,-5.59451208785168,"CYP51A1"
"ENSG00000001631",-0.292020645953991,3.70693298423475,-1.88403973281412,0.0612299517612836,0.131870836278751,-4.97250726499074,"KRIT1"
"ENSG00000002016",-0.0332394624656055,2.46814982893893,-0.173466569815186,0.862486635295148,0.910427890757517,-6.50741533543294,"RAD52"
"ENSG00000002330",-0.262843308376535,3.4942658744311,-1.36376289758606,0.174406462142132,0.292779140206651,-5.77250863102977,"BAD"
"ENSG00000002549",1.51094496843874,6.64044114881644,6.22473820141373,3.5083770496438e-09,1.33614675811639e-07,10.507610779791,"LAP3"
"ENSG00000002586",-0.184443751029884,6.23875498572566,-1.35942820026978,0.175772691606499,0.294647986397701,-5.97658956995287,"CD99"
"ENSG00000002587",-0.0684838321340233,2.91331372841575,-0.25764368746158,0.796986809609678,0.864531209772175,-6.5575067940448,"HS3ST1"
"ENSG00000002822",0.111767195676121,4.75418194003613,0.714320911288211,0.475987349733424,0.607402098714878,-6.56205117053721,"MAD1L1"
"ENSG00000002834",0.0654489680339474,6.8730410412565,0.674307257664209,0.501012183162732,0.629508026255439,-6.67253136504693,"LASP1"
"ENSG00000002919",0.0485486576985551,4.66829007353931,0.370939888560396,0.711134193832696,0.801315916414027,-6.7405580136082,"SNX11"
"ENSG00000002933",0.791849330149397,4.67482934634591,3.75417025617534,0.000236964286066261,0.00165271947422561,-0.0552564922440837,"TMEM176A"
"ENSG00000003056",0.0194786767345285,6.48983333073344,0.139566564208698,0.889164111895322,0.929810473736415,-6.88480710599497,"M6PR"
"ENSG00000003147",-0.354790665074286,2.75705189093007,-1.73459532247785,0.0845859905563126,0.169139457065943,-5.10002612089181,"ICA1"
"ENSG00000003393",-0.376718367529961,3.13096317600518,-2.49904531844296,0.0133810237644891,0.0410686361783627,-3.60420404712543,"ALS2"
"ENSG00000003400",0.903382062919233,4.46110692232022,5.03479624529104,1.18898152502286e-06,1.98073835223415e-05,4.98049661628723,"CASP10"
"ENSG00000003402",0.566698342612357,9.40656214874537,4.71243573216742,4.99601836220055e-06,6.74028461857888e-05,3.50204148062779,"CFLAR"
"ENSG00000003436",-0.612991512761393,3.23099391518438,-3.9290811917198,0.000122895029336635,0.000980424557670176,0.651725580359674,"TFPI"
"ENSG00000003509",0.198555359473591,2.81997258197687,1.15450339967299,0.249879309435442,0.382399994411327,-5.90298900595994,"NDUFAF7"
"ENSG00000003756",0.18287643602307,6.75285667886607,1.6191939071867,0.107219311933547,0.202979290872454,-5.60159915966404,"RBM5"
"ENSG00000004059",0.234220883009389,5.84637983274432,2.05064069421736,0.0418038275438688,0.099175528334775,-4.80992344980129,"ARF5"
"ENSG00000004142",0.403994704661762,3.40187873262336,2.34287105928937,0.0202683469274216,0.0565676287948427,-3.96840351853644,"POLDIP2"
"ENSG00000004399",-0.366778887434359,5.55455039891727,-2.25850726088589,0.0251576699694611,0.0669259141916934,-4.37299505256768,"PLXND1"
"ENSG00000004455",0.202412275410561,5.23889118547902,1.51952199724061,0.130448814201592,0.234445554339161,-5.7073814816612,"AK2"
"ENSG00000004468",1.81569662780172,4.19135731085151,7.12834339801242,2.61163143346591e-11,1.70573703483892e-09,15.3461365091181,"CD38"
"ENSG00000004478",-0.590298147975044,4.55045400963064,-2.98149320441826,0.00328039240820718,0.0134117070758587,-2.50890158519796,"FKBP4"
"ENSG00000004487",-0.662792004976502,2.84073235008413,-4.41068855190777,1.80232643864134e-05,0.000199469688519282,2.48990311352501,"KDM1A"
