"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000003056",-0.250586189721179,6.28639548075552,-1.05672077745168,0.293010329058387,0.506147212166065,-5.82268451618636,"M6PR"
"ENSG00000003147",0.0537571493272788,3.13227975586401,0.199495920257865,0.842252072770248,0.916343121593403,-6.07147864475244,"ICA1"
"ENSG00000003393",0.120630671336686,3.17622597161669,0.502218384193694,0.616542103222168,0.773916680940737,-5.96968818946567,"ALS2"
"ENSG00000003400",0.775974914006585,3.81637310811631,3.25327893746543,0.00152538591217714,0.0223808962957077,-1.29495607410075,"CASP10"
"ENSG00000003402",0.160542725717023,8.95128983786831,0.865547008211555,0.388668075217905,0.594458145846734,-6.13978088800028,"CFLAR"
"ENSG00000003436",-0.232322293983199,3.92270513962006,-0.740791716813623,0.460436387524916,0.657137172719952,-5.88538206551702,"TFPI"
"ENSG00000003509",0.276559433425289,2.49169980620951,0.970688566962201,0.333884537303651,0.545107769514844,-5.60628988721762,"NDUFAF7"
"ENSG00000003756",0.240024184150752,6.29920454736518,1.36015542508782,0.176629067085869,0.380423971267652,-5.47334950974384,"RBM5"
"ENSG00000004059",-0.772522705496089,5.55464422548496,-2.92162876360728,0.00424541841112268,0.0429475187232359,-2.2984116745867,"ARF5"
"ENSG00000004139",-0.0816452476601226,1.13948329437284,-0.290734139962682,0.771815367744903,0.874023024859356,-6.0073362166092,"SARM1"
"ENSG00000004142",-0.682996042827797,3.17263305909427,-2.36998847348639,0.0195731697357819,0.10609186086465,-3.46138124218933,"POLDIP2"
"ENSG00000004399",-0.74335075873632,5.24408629431684,-3.2437036364622,0.00157280630589846,0.0227360468758568,-1.39483818003108,"PLXND1"
"ENSG00000004455",-0.388000564600096,5.2936172840533,-1.82339043154547,0.0710256761326073,0.225938356678432,-4.69083038450495,"AK2"
"ENSG00000004468",0.480299366246381,2.884388036254,1.59644406642323,0.113328190268746,0.296172905522224,-4.87134356952631,"CD38"
"ENSG00000004478",0.00589521625489027,4.55280788989559,0.02150326403239,0.982884101672671,0.991553072375636,-6.21720174606622,"FKBP4"
"ENSG00000004487",-1.39833743173413,2.80869851609345,-4.81798394676859,4.78938454106166e-06,0.000543724476524001,3.92383406753845,"KDM1A"
"ENSG00000004534",-0.0821871703825252,4.22815678129248,-0.379773895903963,0.70486323528635,0.832281432969415,-6.11277525328524,"RBM6"
"ENSG00000004660",0.420140966729228,2.62224512418531,1.61052224843942,0.110219320907761,0.291363943303833,-4.83946715935405,"CAMKK1"
"ENSG00000004700",-0.344247468794518,2.86391678099971,-1.07564786421341,0.284495365040752,0.497327350534201,-5.50988923711919,"RECQL"
"ENSG00000004766",-0.443465730375953,3.21506698134739,-1.36499136725712,0.175108600399532,0.379051218160059,-5.20505560313454,"VPS50"
"ENSG00000004777",0.450049150562174,1.228834738307,1.40203413610194,0.163788851976096,0.365816891457443,-5.11676547337191,"ARHGAP33"
"ENSG00000004779",-0.68248736947681,3.72640800559691,-1.67012482244277,0.0978068661556133,0.272371351103334,-4.805559626495,"NDUFAB1"
"ENSG00000004799",-1.54173922282897,2.2261905044962,-4.32481555623566,3.42934881331048e-05,0.00182390406689945,2.13972225579767,"PDK4"
"ENSG00000004809",-0.262708082879859,1.21669681094056,-0.924683864030852,0.357203471511587,0.566061963094512,-5.64052568590207,"SLC22A16"
"ENSG00000004838",-1.65480919991058,3.37575349273841,-3.40993339417104,0.000916356762569919,0.0154837600683927,-0.814431216091734,"ZMYND10"
"ENSG00000004864",0.530564185674199,6.2044220544074,1.6269697047233,0.106674188357025,0.286328285637989,-5.08227782583119,"SLC25A13"
"ENSG00000004866",-0.823221296438593,2.47602195971324,-2.25574415462122,0.0261131507332995,0.124787296760081,-3.67811354170772,"ST7"
"ENSG00000004897",0.260362342856143,4.73617887363528,1.24346214372797,0.216405196971759,0.427145326612219,-5.4928740123042,"CDC27"
"ENSG00000004939",0.561721185285942,1.1327196163439,1.7867916369809,0.0767925134102072,0.236691322804474,-4.54591982377387,"SLC4A1"
"ENSG00000004961",-0.729101534188765,2.06144295014689,-2.19773738727423,0.0301149263807604,0.135877021706454,-3.79311409261238,"HCCS"
"ENSG00000004975",0.447288908554819,3.77782742096951,1.77737936485481,0.078336616289101,0.238912957814366,-4.64790096920348,"DVL2"
"ENSG00000005001",-0.847453851704514,2.60981991163391,-2.01839562886513,0.0460426016498837,0.17541393426446,-4.15365402840801,"PRSS22"
"ENSG00000005007",0.0227509924391263,5.1499366091474,0.137556253545322,0.89084870124466,0.942324770386379,-6.26508915378891,"UPF1"
"ENSG00000005020",-0.0991083132786995,6.510989842838,-0.483538973121872,0.629697531150423,0.782082776528366,-6.26959359503704,"SKAP2"
"ENSG00000005022",-1.08856814395473,5.45006441523913,-4.27574155892207,4.14191448922e-05,0.00205391772297713,1.91978907063548,"SLC25A5"
"ENSG00000005059",-0.530531828360799,3.1900245084912,-1.6786159481125,0.0961344845413131,0.269293416653982,-4.75194684081899,"MCUB"
"ENSG00000005075",-0.117302117596959,4.23383610295367,-0.349360210060142,0.727503004450222,0.847140676208292,-6.12150370444229,"POLR2J"
"ENSG00000005156",-0.146657003770627,3.95002764144806,-0.520910252181213,0.603501708082454,0.764006444147039,-6.02235031933982,"LIG3"
"ENSG00000005175",0.652987508829281,3.14266172750328,2.43439117047425,0.01656533188835,0.0968634216723963,-3.33059766104049,"RPAP3"
"ENSG00000005187",0.78481472192317,3.51128991344891,2.09389005415594,0.0386235406606057,0.157593352357585,-4.07090973585205,"ACSM3"
"ENSG00000005189",0.507584683979479,1.88343415110912,1.57063088367891,0.119210123647151,0.305982414013245,-4.89293783771041,"REXO5"
